"DISTRICT","WARD_CURRENT","VILLAGE.SHEHIA","HumanFEMALEs_vill","HumanMALES_vill","DogsOwned","DogsStray_estimate1","DogsStray_estimate2","Easting","Northing","Mainland.Island","DW","ward_match","totalHumans","DogsStray_estimate_mean","totalDogs","month"
"Mkoani","Chambani","Mgagadu",704,777,18,25,40,580465,9408306,"Mainland","Mkoani_Mgagadu",119,1481,32.5,50.5,30
"Chake Chake","Chanjaani","Chanjaani",1850,1826,47,NA,NA,585782,9418224,"Mainland","Chake Chake_Chanjaani",60,3676,NA,47,31
"Chake Chake","Chanjaani","Madungu",2321,1914,33,NA,NA,585862,9419512,"Mainland","Chake Chake_Madungu",79,4235,NA,33,30
"Chake Chake","Shungi","Shungi",1661,1578,NA,NA,NA,583255,9415768,"Mainland","Chake Chake_Shungi",68,3239,NA,NA,30
"Chake Chake","Chachani","Msingini",1113,973,5,NA,NA,585125,9420244,"Mainland","Chake Chake_Msingini",86,2086,NA,5,30
"Chake Chake","Chachani","Chachani",721,460,4,NA,NA,585092,9420210,"Mainland","Chake Chake_Chachani",73,1181,NA,4,30
"Chake Chake","Shumba Viamboni","Kichungwani",1456,1164,11,NA,NA,584968,9419876,"Mainland","Chake Chake_Kichungwani",85,2620,NA,11,30
"Chake Chake","Tibirinzi","Tibirinzi",2705,3254,38,NA,NA,584516,9421294,"Mainland","Chake Chake_Tibirinzi",72,5959,NA,38,30
"Chake Chake","Tibirinzi","Wesha",2154,2072,20,NA,NA,581771,9422092,"Mainland","Chake Chake_Wesha",77,4226,NA,20,30
"Chake Chake","Ndagoni","Ndagoni",2457,2406,NA,NA,NA,578833,9423818,"Mainland","Chake Chake_Ndagoni",64,4863,NA,NA,30
"Chake Chake","Kwale","Kwale",2045,1894,5,NA,NA,585394,9424996,"Mainland","Chake Chake_Kwale",65,3939,NA,5,30
"Chake Chake","Kwale","Michungwani",1450,1291,5,NA,NA,584192,9423906,"Mainland","Chake Chake_Michungwani",83,2741,NA,5,30
"Chake Chake","Ziwani","Ziwani",3385,2934,53,NA,NA,585338,9427890,"Mainland","Chake Chake_Ziwani",63,6319,NA,53,30
"Chake Chake","Ziwani","Mbuzini",1330,1295,NA,NA,NA,587110,9426178,"Mainland","Chake Chake_Mbuzini",82,2625,NA,NA,31
"Chake Chake","Wara","Wara",4308,3404,17,NA,NA,586724,9421340,"Mainland","Chake Chake_Wara",74,7712,NA,17,30
"Chake Chake","Wara","Mkoroshoni",1937,1639,14,NA,NA,586240,9422082,"Mainland","Chake Chake_Mkoroshoni",87,3576,NA,14,30
"Chake Chake","Ngambwa","Ng'ambwa",3340,3080,63,NA,NA,586801,9423472,"Mainland","Chake Chake_Ng'ambwa",67,6420,NA,63,30
"Chake Chake","Ng'ambwa","Uwandani",1598,1421,16,NA,NA,591371,9424546,"Mainland","Chake Chake_Uwandani",78,3019,NA,16,30
"Chake Chake","Vitongoji","Vitongoji",2056,2618,33,NA,NA,591421,9422750,"Mainland","Chake Chake_Vitongoji",66,4674,NA,33,30
"Chake Chake","Vitongoji","Kibokoni",1208,1191,NA,NA,NA,592089,9420896,"Mainland","Chake Chake_Kibokoni",84,2399,NA,NA,30
"Chake Chake","Wawi","Wawi",3553,3245,44,NA,NA,588481,9421074,"Mainland","Chake Chake_Wawi",61,6798,NA,44,30
"Chake Chake","Wawi","Mvumoni",1291,975,33,NA,NA,590312,9418340,"Mainland","Chake Chake_Mvumoni",75,2266,NA,33,30
"Chake Chake","Wawi","Mgogoni",1500,1223,27,NA,NA,590312,9418340,"Mainland","Chake Chake_Mgogoni",80,2723,NA,27,30
"Chake Chake","Wawi","Mfikiwa",918,1053,20,NA,NA,589163,9417830,"Mainland","Chake Chake_Mfikiwa",88,1971,NA,20,31
"Chake Chake","Pujini","Pujini",2982,2833,6,NA,NA,588565,9414158,"Mainland","Chake Chake_Pujini",62,5815,NA,6,30
"Chake Chake","Pujini","Dodo",2141,2096,20,NA,NA,587770,9413674,"Mainland","Chake Chake_Dodo",81,4237,NA,20,30
"Chake Chake","Pujini","Matale",1987,2026,44,NA,NA,584706,9413722,"Mainland","Chake Chake_Matale",76,4013,NA,44,30
"Chake Chake","Chonga","Chonga",2891,2683,51,NA,NA,583340,9413588,"Mainland","Chake Chake_Chonga",69,5574,NA,51,30
"Chake Chake","Chonga","Mgelema",1345,1741,30,NA,NA,578688,9415022,"Mainland","Chake Chake_Mgelema",70,3086,NA,30,30
"Chake Chake","Kilindi","Kilindi",1758,1822,46,NA,NA,579891,9418216,"Mainland","Chake Chake_Kilindi",71,3580,NA,46,31
